,Name,Distance (mi),Moving Time (hr),Elevation Gain (ft),Average Heartrate (bpm),Average Power (w),Date,Day of the Week
0,Afternoon Ride,28.91,2.8,2791.99,,,2023-11-02,3
1,Afternoon Ride,24.29,2.04,2654.2,,,2023-11-01,2
2,pumkin,17.59,1.76,1863.52,,,2023-10-31,1
3,mtb on da road,73.79,4.86,6893.04,155.1,,2023-10-28,5
4,Morning Ride,5.84,0.47,226.38,,,2023-10-27,4
5,Afternoon Ride,29.13,2.26,2103.02,,,2023-10-26,3
6,Morning Ride,86.91,5.15,7306.43,154.0,196.0,2023-10-21,5
7,apple cider,27.62,2.29,1374.67,,118.0,2023-10-19,3
8,silliest of geese,61.32,3.06,2208.01,149.0,200.0,2023-10-17,1
9,Morning Ride,31.66,3.06,3674.54,130.6,,2023-10-15,6
10,:D,89.38,5.54,8484.25,157.1,196.0,2023-10-14,5
11,Morning Ride,5.79,0.46,177.17,,108.0,2023-10-13,4
12,Afternoon Ride,22.53,1.73,1381.23,,151.0,2023-10-12,3
13,Morning Ride,27.42,1.98,1499.34,125.9,152.0,2023-10-11,2
14,zoning out in z2,60.86,3.01,2208.01,145.7,209.0,2023-10-10,1
15,this was pleasant,45.24,3.55,4422.57,151.7,,2023-10-08,6
16,now now now,84.34,4.88,6286.09,154.7,197.0,2023-10-07,5
17,Morning Ride,11.08,1.08,1437.01,,,2023-10-06,4
18,Afternoon Ride,21.21,1.85,1151.57,,,2023-10-05,3
19,Morning Ride,61.34,3.06,2152.23,149.8,195.0,2023-10-03,1
20,Lunch Ride,45.43,3.96,5236.22,132.1,,2023-10-01,6
21,Morning Ride,80.31,4.33,4757.22,151.8,209.0,2023-09-30,5
22,Morning Ride,22.84,1.57,1213.91,,,2023-09-29,4
23,Morning Ride,26.66,1.8,2263.78,,174.0,2023-09-28,3
24,UCLA Social Ride,21.89,1.92,1502.62,,106.0,2023-09-27,2
25,Community Service,40.7,3.03,3057.74,130.8,,2023-09-26,1
26,Morning Ride,114.02,6.47,9963.25,148.9,203.0,2023-09-23,5
27,Morning Ride,21.6,1.7,1354.99,128.1,,2023-09-22,4
28,Afternoon Ride,45.41,4.39,5908.79,143.8,,2023-09-21,3
29,Morning Ride,53.38,3.56,4350.39,137.0,186.0,2023-09-20,2
30,Afternoon Ride,13.55,1.37,1653.54,166.3,,2023-09-19,1
31,2x Santa Cruz in Santa Cruz,21.46,2.5,3953.41,162.3,,2023-09-19,1
32,Lunch Ride,53.8,4.75,6476.38,153.0,,2023-09-16,5
33,Wheelie practice,5.87,0.66,396.98,,,2023-09-16,5
34,Afternoon Ride,13.74,1.55,1758.53,143.7,,2023-09-14,3
35,Bruh Moment,29.79,3.92,4796.59,158.2,,2023-09-13,2
36,Morning Ride,64.2,6.72,9317.59,143.8,,2023-09-09,5
37,Afternoon Ride,57.3,4.2,5213.25,132.2,161.0,2023-09-06,2
38,Afternoon Ride,35.95,3.37,4041.99,125.6,,2023-09-04,0
39,Morning Ride,24.78,2.75,2680.45,121.5,,2023-09-03,6
40,New Bike Day,61.65,6.15,7378.61,143.4,,2023-09-02,5
41,Afternoon Ride,57.12,4.23,5009.84,136.5,160.0,2023-08-30,2
42,Morning Ride,82.51,4.51,6332.02,152.5,205.0,2023-08-26,5
43,Morning Ride,53.54,4.23,5725.07,127.5,159.0,2023-08-25,4
44,Afternoon Ride,54.2,3.36,3024.93,144.8,170.0,2023-08-23,2
45,Another top 10 ride,56.11,3.58,5492.13,148.0,129.0,2023-08-22,1
46,Afternoon Ride,28.19,1.75,1584.65,121.8,155.0,2023-08-22,1
47,NOW+,96.1,5.39,7660.76,158.7,207.0,2023-08-19,5
